headline,snippet,web_url,lead_paragraph
"{u'main': u'Chris Christie Stumps for Energy, if Not for 2016, in Canada', u'print_headline': u'Christie Stumps for Energy, if Not for 2016, in Canada'}","On a trip to Canada, Gov. Chris Christie of New Jersey voiced his support for the Keystone XL Pipeline, and began fashioning what may be a foreign policy platform for a 2016 presidential run....",https://www.nytimes.com/2014/12/05/us/politics/chris-christie-stumps-for-energy-if-not-for-2016-in-canada.html,"On a trip to Canada, Gov. Chris Christie of New Jersey voiced his support for the Keystone XL Pipeline, and began fashioning what may be a foreign policy platform for a 2016 presidential run."
"{u'seo': u'TransCanada in Eminent Domain Fight Over Pipeline', u'main': u'Eminent Domain Fight Has a Canadian Twist', u'print_headline': u'Eminent Domain Fight Has a Canadian Twist'}",A Canadian company has drawn criticism for threatening to take property from landowners in the United States for a pipeline that has not been approved....,https://www.nytimes.com/2011/10/18/us/transcanada-in-eminent-domain-fight-over-pipeline.html,A Canadian company has drawn criticism for threatening to take property from landowners in the United States for a pipeline that has not been approved.
"{u'seo': u'The Keystone XL Pipeline: Canada States Its Case', u'main': u'The Keystone XL Pipeline', u'kicker': u'Letter', u'print_headline': u'The Keystone XL Pipeline', u'content_kicker': u'Letter'}",A Canadian official writes in support of building an oil pipeline from Canada to oil refineries in Texas....,https://www.nytimes.com/2011/10/07/opinion/the-keystone-xl-pipeline-canada-states-its-case.html,A Canadian official writes in support of building an oil pipeline from Canada to oil refineries in Texas.
"{u'main': u'Looking for a Way Around Keystone XL, Canadian Oil Hits the Rails', u'print_headline': u'An End-Around for Oil'}","Despite higher costs, Canadian oil companies are rapidly expanding their ability to transport crude by rail, hoping to tap hungry markets in Asia....",https://www.nytimes.com/2013/10/31/business/energy-environment/looking-for-a-way-around-keystone-xl-canadian-oil-hits-the-rails.html,"Despite higher costs, Canadian oil companies are rapidly expanding their ability to transport crude by rail, hoping to tap hungry markets in Asia."
"{u'main': u'In Canada, Pipeline Remarks Stir Analysis', u'print_headline': u'In Canada, Pipeline Remarks Stir Analysis'}","President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase....",https://www.nytimes.com/2013/06/27/business/energy-environment/in-canada-pipeline-remarks-stir-analysis.html,"President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase."
"{u'main': u'Rocky Road for Canadian Oil', u'print_headline': u'Rocky Road for Canadian Oil'}",The planned projects could break the virtual United States monopoly market for Canadian oil exports and enable oil sands production to climb by more than 25 percent in the next decade....,https://www.nytimes.com/2014/05/13/business/energy-environment/rocky-road-for-canadian-oil.html,The planned projects could break the virtual United States monopoly market for Canadian oil exports and enable oil sands production to climb by more than 25 percent in the next decade.
"{u'main': u'Despite Protests, Canada Approves Northern Gateway Oil Pipeline', u'print_headline': u'Despite Protests, Canada Approves Northern Gateway Oil Pipeline'}","The project, which would send oil from Alberta to Asia, faces stiff opposition from aboriginal groups, environmentalists and community advocates....",https://www.nytimes.com/2014/06/18/business/energy-environment/canada-approves-northern-gateway-pipeline.html,"The project, which would send oil from Alberta to Asia, faces stiff opposition from aboriginal groups, environmentalists and community advocates."
"{u'main': u'Oil Sands Foes Are Foes of Canada, Minister Says', u'kicker': u'Green'}","Denouncing opponents of the Keystone XL project, Canada's environment minister says they are financed from abroad....",https://green.blogs.nytimes.com/2012/01/09/oil-sands-foes-are-foes-of-canada-minister-says/,"In an unusual open letter released on Monday, Canada's natural resources minister charged that ""environmental and other radical groups"" used ""funding from foreign special interest groups to undermine Canada's national economic interest."""
"{u'seo': u'Canada Seeks New Ways to Get Oil Reserves to Market', u'main': u'Canada Seeks Alternatives to Transport Oil Reserves', u'print_headline': u'Canada Seeks Alternatives To Transport Oil Reserves'}","As oil companies complain of lost revenues, the government is moving forward with plans to build more pipelines of its own....",https://www.nytimes.com/2012/06/14/science/earth/canada-seeks-new-ways-to-get-oil-reserves-to-market.html,"As oil companies complain of lost revenues, the government is moving forward with plans to build more pipelines of its own."
"{u'main': u'Canada: Pipeline Break Spews Oil Onto Vancouver', u'kicker': u'World Briefing | Americas', u'print_headline': u'Canada: Pipeline Break Spews Oil Onto Vancouver', u'content_kicker': u'World Briefing | Americas'}","Environmentalists were assessing damage to land and seawater in suburban Vancouver as a cleanup of oil sprayed from a ruptured pipeline continued. An excavator working on a sewer line on Tuesday broke the pipeline, sending a plume of crude oil abo...",https://www.nytimes.com/2007/07/26/world/americas/26briefs-oil.html,"Environmentalists were assessing damage to land and seawater in suburban Vancouver as a cleanup of oil sprayed from a ruptured pipeline continued. An excavator working on a sewer line on Tuesday broke the pipeline, sending a plume of crude oil about 60 to 100 feet into the air until the system was shut down 25 minutes later. Eight homes in Burnaby were heavily coated by the oil and remained evacuated. Several oil-saturated streets remained closed. Storm sewers caused some oil to enter Burrard Inlet, although light winds and the rapid placement of containment barriers limited its spread. The Canadian Transportation Safety Board is investigating. The pipeline is owned by Kinder Morgan Energy Partners of Houston."
{u'main': u'Pipeline Project in Canada Nears Approval'},"Canadian regulators recommended today that approval be given to the proposed Sable Offshore Energy Project and its affiliated pipeline, which would pump eastern Canadian gas to Atlantic provinces and the United States Northeast.    The huge projec...",https://www.nytimes.com/1997/10/28/business/pipeline-project-in-canada-nears-approval.html,"Canadian regulators recommended today that approval be given to the proposed Sable Offshore Energy Project and its affiliated pipeline, which would pump eastern Canadian gas to Atlantic provinces and the United States Northeast. The huge project -- planned by a roster of energy companies led by the Mobil Corporation -- would include the development of six natural gas fields off the coast of Nova Scotia and a pipeline to ship the gas through Nova Scotia and New Brunswick into Maine, New Hampshire and Massachusetts."
{u'main': u'CANADIAN HOPES DIM FOR AN OIL PIPELINE'},"OTTAWA, March 24 -- Canadian hopes that a route through Canada might be used to bring Alaskan oil to United States markets dimmed today after a meeting between Government ministers and the senior executives of five international oil companies....",https://query.nytimes.com/gst/abstract.html?res=9B07E6D91530E73BBC4D51DFB566838A669EDE,"OTTAWA, March 24 -- Canadian hopes that a route through Canada might be used to bring Alaskan oil to United States markets dimmed today after a meeting between Government ministers and the senior executives of five international oil companies."
"{u'main': u'New Mexico State Has a Canadian Pipeline', u'kicker': u'The Quad'}","Four key players for New Mexico State, including three starters, are from Toronto and its suburbs....",https://thequad.blogs.nytimes.com/2013/03/21/for-new-mexico-state-a-canadian-pipeline/,
{u'main': u'Energy Pipeline Operator to Buy Canadian Rival'},"An energy pipeline operator, Kinder Morgan, said that it had reached a deal to buy a Canadian pipeline company, Terasen, for $3.1 billion....",https://www.nytimes.com/2005/08/02/business/worldbusiness/02energy.html,"An energy pipeline operator, Kinder Morgan, said on Monday that it had reached a deal to buy a Canadian pipeline company, Terasen, for $3.1 billion to expand its share of Canadian oil shipments. The purchase also calls for Kinder Morgan to take on $2.5 billion in Terasen's debt."
{u'main': u'Canadian Asserts Morton Spurned Pipeline Studies'},"WASHINGTON, June 9 -- A member of the Canadian Parliament told a Congressional committee today that Secretary of the Interior Rogers C. B. Morton had shown no interest in studies being conducted by Canada on a duel pipline system to transport oil ...",https://query.nytimes.com/gst/abstract.html?res=9F0DE5DF113DEF34BC4852DFB0668389669EDE,"WASHINGTON, June 9 -- A member of the Canadian Parliament told a Congressional committee today that Secretary of the Interior Rogers C. B. Morton had shown no interest in studies being conducted by Canada on a duel pipline system to transport oil and gas from Alaska's North Slope and the Canadian Arctic."
